x,y,l_button_down,stamp
272,192,1,5039983659
276,191,1,5059977747
280,189,1,5079978763
283,189,1,5099978898
284,189,1,5119979183
286,190,1,5139984236
290,192,1,5160017877
293,195,1,5180013617
295,198,1,5199997440
296,203,1,5220099239
296,207,1,5240003188
296,212,1,5260026485
294,218,1,5279984056
293,221,1,5299986621
292,223,1,5319985269
291,223,1,5339981689
291,223,1,5359986598
290,223,1,5379987965
285,222,1,5400013837
280,222,1,5420004375
275,221,1,5440047838
274,220,1,5460074747
273,220,1,5479995776
273,220,1,5500004822
273,220,1,5519989725
273,220,1,5539988179
271,220,1,5559988849
268,219,1,5580046964
268,219,1,5600014305
268,219,1,5620011414
268,219,0,5640026788
268,219,0,5660063718
268,219,0,5680695374
268,219,0,5700051398
268,219,0,5720064274
268,219,0,5739960719
268,219,0,5760049132
268,219,0,5780003449
268,219,0,5801172252
268,219,0,5820054052
268,219,0,5840016192
268,219,0,5860004462
268,219,0,5880045752
268,219,0,5900003668
268,219,0,5920510565
268,219,0,5940006889
268,219,0,5960191582
268,219,0,5980001088
311,193,1,6000006795
311,193,1,6020018653
310,195,1,6040012031
308,202,1,6060002046
306,212,1,6079997960
304,218,1,6100006929
303,223,1,6120002314
301,231,1,6140091057
301,232,1,6160539716
301,232,1,6180004864
301,232,1,6200029126
302,232,1,6219980955
304,232,1,6239979844
311,232,1,6260004639
315,232,1,6280149220
320,232,1,6299982883
322,232,1,6320002255
324,232,1,6340041600
325,232,1,6359999893
325,232,1,6380002925
325,232,1,6400044303
325,232,1,6419999061
325,232,0,6440019388
325,232,0,6460042077
325,232,0,6480007347
325,232,0,6500000802
325,232,0,6519999576
325,232,0,6539998212
325,232,0,6560034929
325,232,0,6580027368
325,232,0,6600002540
325,232,0,6620001674
325,232,0,6640023930
325,232,0,6659978279
325,232,0,6680007261
325,232,0,6700112668
344,199,1,6720162511
344,199,1,6740099280
344,204,1,6760069202
344,209,1,6780018697
342,219,1,6800004651
341,224,1,6820045745
338,235,1,6840064729
338,240,1,6860014226
338,243,1,6880045171
338,245,1,6900042625
341,245,1,6920005901
346,245,1,6940000613
353,244,1,6960042466
357,243,1,6980003074
361,241,1,7000043053
364,240,1,7020002404
367,239,1,7040004461
367,239,1,7060010758
367,239,1,7080008219
367,239,1,7099994929
367,239,0,7120765608
367,239,0,7140001160
367,239,0,7160041719
367,239,0,7179999838
367,239,0,7200025234
367,239,0,7220014821
367,239,0,7240001657
367,239,0,7260013193
367,239,0,7280001558
367,239,0,7300014769
367,239,0,7320000689
367,239,0,7339999479
367,239,0,7360005239
367,239,0,7380261602
367,239,0,7399990639
367,239,0,7419985152
367,239,0,7439980553
338,219,1,7460013449
338,219,1,7480010069
339,219,1,7499988959
342,217,1,7520001721
346,215,1,7540105569
353,211,1,7560006226
357,209,1,7580001890
361,207,1,7600005572
362,206,1,7620017790
363,206,1,7640000290
363,206,1,7660002121
363,206,1,7680003006
363,206,0,7699987570
363,206,0,7719983667
363,206,0,7739985856
363,206,0,7759982722
363,206,0,7779988325
363,206,0,7800001572
363,206,0,7819996913
363,206,0,7840036794
363,206,0,7860054726
363,206,0,7880005866
363,206,0,7899990591
363,206,0,7920010256
363,206,0,7939999621
363,206,0,7959977892
363,206,0,7979996233
363,206,0,8000054852
363,206,0,8020006454
363,206,0,8040010285
363,206,0,8060011834
363,206,0,8080047997
351,191,1,8100040964
351,191,1,8119990478
351,191,1,8139984644
351,191,1,8159980243
357,190,1,8179978089
363,188,1,8200010252
374,185,1,8219977437
377,185,1,8239984432
381,185,1,8259983298
385,185,1,8279980872
391,185,1,8300012019
392,185,1,8319980002
392,185,1,8339984064
392,185,1,8359984797
392,185,1,8379983031
392,185,0,8399983483
392,185,0,8419978447
392,185,0,8440014659
392,185,0,8459978010
392,185,0,8479977575
392,185,0,8500000148
392,185,0,8520052955
392,185,0,8539986756
392,185,0,8559987598
392,185,0,8579989565
392,185,0,8599987352
392,185,0,8619982338
392,185,0,8639987502
392,185,0,8659984117
392,185,0,8680010306
392,185,0,8700012280
392,185,0,8719974147
392,185,0,8739944307
392,185,0,8759972015
392,185,0,8780009439
392,185,0,8799998949
392,185,0,8819990877
392,185,0,8840041994
392,185,0,8860006792
392,185,0,8880035402
392,185,0,8900004479
392,185,0,8919997758
392,185,0,8940093010
392,185,0,8960045353
392,185,0,8980011040
392,185,0,8999995908
392,185,0,9020012138
392,185,0,9040003214
392,185,0,9060050244
392,185,0,9080006499
392,185,0,9099998432
392,185,0,9120025951
392,185,0,9140054489
392,185,0,9159991603
392,185,0,9179983815
392,185,0,9199977878
392,185,0,9219977947
392,185,0,9239988054
392,185,0,9259997133
392,185,0,9280061065
392,185,0,9300045945
392,185,0,9320050207
392,185,0,9340284803
392,185,0,9360003746
392,185,0,9380040792
392,185,0,9399995674
